0.0,1.25011950e+03
1.0,2.40782452e+03
2.0,3.09683881e+03
3.0,2.34225756e+03
4.0,2.07542491e+03
5.0,1.64440037e+03
6.0,1.24838015e+03
7.0,9.24490994e+02
8.0,6.64151906e+02
9.0,4.91175543e+02
10.0,3.50007685e+02
11.0,2.11232436e+02
12.0,1.06591893e+02
13.0,5.46433274e+01
14.0,3.11197612e+01
15.0,1.95351727e+01
16.0,1.31727013e+01
17.0,9.34415936e+00
18.0,6.87518959e+00
19.0,5.19772041e+00
20.0,4.01167227e+00
21.0,3.14676722e+00
22.0,2.50054682e+00
23.0,2.00828338e+00
24.0,1.62738406e+00
25.0,1.32884541e+00
26.0,1.09234067e+00
27.0,9.03274169e-01
28.0,7.50948621e-01
29.0,6.27386743e-01
30.0,5.26551339e-01
31.0,4.43815637e-01
32.0,3.75595314e-01
33.0,3.19087630e-01
34.0,2.72083172e-01
35.0,2.32827833e-01
36.0,1.99920211e-01
37.0,1.72234384e-01
38.0,1.48861168e-01
39.0,1.29062993e-01
40.0,1.12238963e-01
